Time	Biomass	Carbon1	Carbon2	Dext	Eext	Growth	Oxygen	R6	R7	RPO2	RPcl	Rres	Tc1	Tc2	Td	Te	To2	biomass
0.54	2.227712	0.0	15.915861	3.341568	2.227712	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	2.20371
0.55	2.365266	0.0	15.66368	3.547898	2.365266	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	2.333606
0.56	2.510927	0.0	15.396634	3.76639	2.510927	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	2.47116
0.5700000000000001	2.665174	0.0	15.113847	3.997761	2.665174	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	2.616821
0.58	2.828514	0.0	14.814391	4.242771	2.828514	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	2.771069
0.59	3.001481	0.0	14.497284	4.502222	3.001481	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	2.934408
0.6	3.184644	0.0	14.161486	4.776966	3.184644	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	3.107376
0.61	3.378604	0.0	13.805893	5.067905	3.378604	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	3.290539
0.62	3.583996	0.0	13.429341	5.375994	3.583996	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	3.484498
0.63	3.801495	0.0	13.030593	5.702242	3.801495	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	3.68989
0.64	4.031814	0.0	12.608341	6.047721	4.031814	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	3.907389
0.65	4.27571	0.0	12.161199	6.413565	4.27571	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	4.137709
0.66	4.533982	0.0	11.687701	6.800972	4.533982	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	4.381604
0.67	4.807477	0.0	11.186292	7.211215	4.807477	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	4.639876
0.68	5.097094	0.0	10.655328	7.64564	5.097094	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	4.913371
0.6900000000000001	5.403782	0.0	10.093067	8.105672	5.403782	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	5.202988
0.7000000000000001	5.728547	0.0	9.497664	8.59282	5.728547	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	5.509676
0.71	6.072456	0.0	8.867165	9.108683	6.072456	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	5.834441
0.72	6.436636	0.0	8.199501	9.654954	6.436636	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	6.17835
0.73	6.822283	0.0	7.492482	10.233424	6.822283	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	6.54253
0.74	7.230661	0.0	6.743788	10.845991	7.230661	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	6.928177
0.75	7.663112	0.0	5.950963	11.494667	7.663112	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	7.336555
0.76	8.121052	0.0	5.111405	12.181578	8.121052	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	7.769006
0.77	8.605986	0.0	4.222359	12.908978	8.605986	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	8.226946
0.78	9.119504	0.0	3.28091	13.679256	9.119504	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	8.71188
0.79	9.663291	0.0	2.283967	14.494936	9.663291	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	9.225398
0.8	10.239132	0.0	1.228259	15.358697	10.239132	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	9.769185
0.81	10.848915	0.0	0.110323	16.273372	10.848915	5.727273	0.0	2.863636	1.909091	1.0	0.0	0.0	0.0	10.5	8.590909	5.727273	0.0	10.345026
0.8200000000000001	10.909619	0.0	0.0	16.364427	10.909619	0.581693	0.0	0.290847	0.193898	1.0	0.0	0.0	0.0	1.066437	0.87254	0.581693	0.0	10.405378
0.8300000000000001	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.84	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.85	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.86	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.87	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.88	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.89	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.9	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.91	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.92	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.93	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.9400000000000001	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
0.9500000000000001	10.909619	0.0	0.0	16.364427	10.909619	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.405378
